愛育,あいいく,aiiku
老頭,おいがしら,oigashira
追い肥,おいごえ,oigoe
老い先,おいさき,oisaki
生い立ち,おいたち,oitachi
御暇,おいとま,oitoma
追い剥ぎ,おいはぎ,oihagi
負い目,おいめ,oime
花魁,おいらん,oiran
丘,おか,oka
御返し,おかえし,okaeshi
お陰,おかげ,okage
御方,おかた,okata
御構い,おかまい,okamai
女将,おかみ,okami
阿亀,おかめ,okame
陸湯,おかゆ,okayu
おから,おから,okara
御代わり,おかわり,okawari
悪寒,おかん,okan
小川,おがわ,ogawa
沖,おき,oki
沖合,おきあい,okiai
置き去り,おきざり,okizari
掟,おきて,okite
翁,おきな,okina
置き場,おきば,okiba
御決まり,おきまり,okimari
置物,おきもの,okimono
奥,おく,oku
屋外,おくがい,okugai
奥様,おくさま,okusama
奥さん,おくさん,okusan
憶測,おくそく,okusoku
奥底,おくそこ,okusoko
奥地,おくち,okuchi
おくて,おくて,okute
屋内,おくない,okunai
御国,おくに,okuni
奥の手,おくのて,okunote
奥歯,おくば,okuba
おくび,おくび,okubi
御悔やみ,おくやみ,okuyami
奥行き,おくゆき,okuyuki
送り先,おくりさき,okurisaki
送り手,おくりて,okurite
送り火,おくりび,okuribi
贈り物,おくりもの,okurimono
小倉,おぐら,ogura
桶,おけ,oke
御腰,おこし,okoshi
御好み,おこのみ,okonomi
おこわ,おこわ,okowa
御下がり,おさがり,osagari
御下げ,おさげ,osage
幼子,おさなご,osanago
おさらい,おさらい,osarai
御産,おさん,osan
押し入れ,おしいれ,oshiire
押し売り,おしうり,oshiuri
教え子,おしえご,oshiego
御七夜,おしちや,oshichiya
鴛鴦,おしどり,oshidori
御忍び,おしのび,oshinobi
押し葉,おしば,oshiba
押し花,おしばな,oshibana
雄蘂,おしべ,oshibe
おしまい,おしまい,oshimai
雄,おす,osu
汚水,おすい,osui
御節,おせち,osechi
汚染,おせん,osen
遅咲き,おそざき,osozaki
御供え,おそなえ,osonae
遅蒔き,おそまき,osomaki
御互い,おたがい,otagai
御宅,おたく,otaku
御立ち,おたち,otachi
おたふく,おたふく,otafuku
汚濁,おだく,odaku
落ち度,おちど,ochido
落ち葉,おちば,ochiba
落ち穂,おちぼ,ochibo
落ち目,おちめ,ochime
御告げ,おつげ,otsuge
御釣り,おつり,otsuri
御手,おて,ote
御手上げ,おてあげ,oteage
御手玉,おてだま,otedama
御点前,おてまえ,otemae
御手盛り,おてもり,otemori
汚点,おてん,oten
汚泥,おでい,odei
お出かけ,おでかけ,odekake
おでき,おでき,odeki
おでこ,おでこ,odeko
お出まし,おでまし,odemashi
おでん,おでん,oden
音,おと,oto
御伽,おとぎ,otogi
男,おとこ,otoko
男君,おとこぎみ,otokogimi
男伊達,おとこだて,otokodate
男手,おとこで,otokode
男泣き,おとこなき,otokonaki
男の子,おとこのこ,otokonoko
男湯,おとこゆ,otokoyu
音沙汰,おとさた,otosata
御年玉,おとしだま,otoshidama
おととい,おととい,ototoi
おととし,おととし,ototoshi
